7 2 230
   0.4348683610500939E+01   0.2953088138695055E+00
   0.1591300460227652E+00   0.1803677252541800E+01   0.9810539955099672E-02
   0.4042489669732959E-02   0.2325825636144398E+01   0.8893412600193221E-02
  -0.3674456394728999E-02   0.1281528868939203E+01   0.1072766731000612E-01
   0.1876329764520020E-02   0.1379026805952163E+01   0.9873376502713178E-01
  -0.1559041896665946E-02   0.5858534860589942E+01   0.8892322507203211E-01
   0.1534084173919484E-02   0.5761036923576983E+01   0.9171273549064512E-03
   0.1132234522571428E-02   0.3182704058493963E+01   0.1085443049822315E+00
  -0.3898971540977004E-03   0.2446630393183256E+01   0.9696923904671184E-02
   0.3851351224149008E-03   0.1160724111900345E+01   0.9924156005528160E-02
  -0.3602762810400590E-03   0.5640232166538125E+01   0.1136160504284885E-03
  -0.3108861291415183E-03   0.4054857608048142E+01   0.7911268511693244E-01
  -0.3036800061325884E-03   0.5411031757625401E+01   0.2943161986529901E-01
  -0.1967051700749114E-03   0.3362929749633851E+01   0.2463636671824243E-04
   0.1584700380869004E-03   0.3607354505083601E+01   0.1962107991019934E-01
   0.1443751571550919E-03   0.8400382205444394E+00   0.8252809808927092E-02
  -0.1336552626452528E-03   0.4986381311035763E+01   0.1183548449373311E+00
   0.1354323755526581E-03   0.5809560142817107E+01   0.9721560271389426E-02
  -0.1344254972843197E-03   0.4080979669446074E+01   0.9899519638809918E-02
  -0.1248289604761352E-03   0.2767316284539162E+01   0.1136827010127225E-01
  -0.9343384687595748E-04   0.9636390319973618E+00   0.1557730146172579E-02
   0.8558910102815169E-04   0.2277302416904274E+01   0.8897968371024604E-04
   0.7224202068094286E-04   0.7593804853366057E+00   0.1164479466491257E-01
   0.5296941292250232E-04   0.5166607002175651E+01   0.9835176321817914E-02
  -0.5247540827620734E-04   0.4723932810087529E+01   0.9785903588381428E-02
   0.4189085863844754E-04   0.8568784223495651E+00   0.9965089238203824E-01
   0.4098739653872672E-04   0.9749793701295940E-01   0.8800609771712566E-01
   0.3764144636960646E-04   0.5238888539974385E+01   0.1834254709812902E-02
  -0.3531748699358457E-04   0.2660555674891366E+01   0.1094614323371379E+00
  -0.2947898798731622E-04   0.1482991361185895E+01   0.8139193758498604E-02
   0.2841090381393687E-04   0.3704852442096560E+01   0.1076271776273250E+00
   0.2676761780821079E-04   0.2251180355506342E+01   0.6930214516183278E-01
